"grade","rank","math","verbal","prev","rdg","father","mother","gender"
1,0.733333333333333,500,490,FALSE,"Never","Some High School","High School Diploma or GED","Female"
1,0.888888888888889,520,510,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.375,460,340,FALSE,"Passed","High School Diploma or GED","Some College","Female"
0,0.772727272727273,440,470,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.941176470588235,590,520,FALSE,"Never","Some College","Some College","Female"
0,0.723456790123457,470,550,FALSE,"Never","Some High School","Some College","Female"
0,0.633333333333333,530,400,FALSE,"Never","Some College","Bachelor Degree","Male"
0,0.633333333333333,530,400,TRUE,"Never","Some College","Bachelor Degree","Male"
1,0.912280701754386,490,470,FALSE,"Never","Not Available","Not Available","Female"
1,0.738255033557047,540,530,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.6875,400,430,FALSE,"Never","Graduate/Professional degree","Bachelor Degree","Female"
1,0.578125,570,510,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
0,0.490909090909091,480,530,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.881481481481482,540,550,FALSE,"Never","Bachelor Degree","Some College","Female"
0,0.68421052631579,450,360,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
0,0.46875,560,410,FALSE,"Never","Some College","Bachelor Degree","Male"
0,0.46875,560,410,TRUE,"Never","Some College","Bachelor Degree","Male"
1,0.794444444444445,400,450,FALSE,"Never","Some College","Some College","Female"
1,0.790697674418605,470,520,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.67741935483871,440,410,FALSE,"Never","Some High School","Some College","Female"
1,0.761904761904762,540,560,FALSE,"Never","Some College","Some College","Male"
0,0.616071428571429,560,510,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
0,0.574750830564784,480,510,FALSE,"Never","Some College","High School Diploma or GED","Female"
0,0.276595744680851,460,450,FALSE,"Never","Some College","High School Diploma or GED","Male"
1,0.721354166666667,490,590,FALSE,"Never","Some College","Some College","Female"
1,0.658823529411765,490,420,FALSE,"Never","Bachelor Degree","Some College","Male"
1,0.53585657370518,460,400,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
0,0.742857142857143,390,520,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.742857142857143,390,520,TRUE,"Never","Some College","Bachelor Degree","Female"
0,0.637931034482759,420,450,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.590909090909091,430,420,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.930769230769231,550,540,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.493670886075949,620,560,FALSE,"Never","High School Diploma or GED","Some College","Male"
0,0.870967741935484,470,510,FALSE,"Never","Some High School","High School Diploma or GED","Female"
1,0.557971014492754,450,360,FALSE,"Never","High School Diploma or GED","Some College","Male"
1,0.8,540,410,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Male"
0,0.459459459459459,460,450,FALSE,"Never","High School Diploma or GED","Graduate/Professional degree","Male"
1,0.622950819672131,470,420,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
0,0.358851674641148,480,390,FALSE,"Passed","Graduate/Professional degree","Some College","Male"
1,0.415783274440518,510,460,FALSE,"Never","High School Diploma or GED","Graduate/Professional degree","Male"
1,0.857142857142857,580,490,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.772357723577236,560,510,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Male"
1,0.899521531100478,520,350,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.416149068322981,430,470,FALSE,"Never","Associate/two-year degree","Associate/two-year degree","Male"
0,0.25,530,530,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
0,0.683760683760684,420,490,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.978632478632479,460,460,FALSE,"Never","High School Diploma or GED","Graduate/Professional degree","Female"
1,0.8042203985932,560,530,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.849382716049383,510,600,FALSE,"Never","Bachelor Degree","Graduate/Professional degree","Female"
1,0.598290598290598,720,550,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.86046511627907,440,440,FALSE,"Never","Some College","Some College","Female"
0,0.623376623376623,560,660,FALSE,"Never","Some College","Some College","Male"
1,0.928571428571429,480,430,FALSE,"Never","High School Diploma or GED","Graduate/Professional degree","Male"
0,0.352941176470588,440,430,FALSE,"Never","Bachelor Degree","High School Diploma or GED","Male"
0,0.545454545454545,440,430,FALSE,"Concurrent","Some College","High School Diploma or GED","Female"
0,0.545454545454545,440,430,TRUE,"Failed","Some College","High School Diploma or GED","Female"
0,0.333333333333333,580,330,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.725,500,490,FALSE,"Never","Some College","High School Diploma or GED","Male"
1,0.763888888888889,520,450,FALSE,"Never","Some College","Some College","Female"
0,0.741626794258373,450,390,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.648648648648649,590,640,FALSE,"Never","Graduate/Professional degree","Bachelor Degree","Female"
1,0.854330708661417,620,540,FALSE,"Never","Some College","Graduate/Professional degree","Female"
0,0.333333333333333,580,440,FALSE,"Never","Some College","Some College","Male"
1,0.880597014925373,590,490,FALSE,"Never","Graduate/Professional degree","Bachelor Degree","Male"
1,0.80373831775701,640,550,FALSE,"Never","Some College","Some College","Female"
0,0.85,480,440,FALSE,"Never","Some High School","Some College","Female"
0,0.85,480,440,TRUE,"Never","Some High School","Some College","Female"
0,0.85,480,440,TRUE,"Never","Some High School","Some College","Female"
1,0.666666666666667,620,480,FALSE,"Never","Some College","Bachelor Degree","Male"
0,0.204819277108434,420,480,FALSE,"Never","Bachelor Degree","Some College","Female"
0,0.755725190839695,420,460,FALSE,"Never","Bachelor Degree","Graduate/Professional degree","Male"
1,0.8,460,440,FALSE,"Never","No High School","No High School","Female"
1,0.892857142857143,520,450,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Female"
0,0.834567901234568,410,380,FALSE,"Never","Bachelor Degree","Some College","Male"
0,0.563218390804598,480,420,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.707070707070707,420,410,FALSE,"Never","Some College","Some College","Male"
0,0.427495291902072,510,630,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.427495291902072,510,630,TRUE,"Never","Bachelor Degree","Some College","Female"
0,0.787234042553192,620,600,FALSE,"Never","No High School","No High School","Male"
0,0.787234042553192,620,600,TRUE,"Never","No High School","No High School","Male"
0,0.715328467153285,390,520,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.607784431137725,570,690,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.9152,600,490,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.255555555555556,460,450,FALSE,"Never","High School Diploma or GED","Some High School","Female"
1,0.945945945945946,470,420,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.826086956521739,480,510,FALSE,"Never","Graduate/Professional degree","Some College","Female"
1,0.97196261682243,500,490,FALSE,"Never","Graduate/Professional degree","Bachelor Degree","Female"
0,0.630952380952381,450,440,FALSE,"Never","Bachelor Degree","High School Diploma or GED","Female"
0,0.14859437751004,470,460,FALSE,"Never","High School Diploma or GED","Some College","Male"
1,0.14859437751004,470,460,TRUE,"Never","High School Diploma or GED","Some College","Male"
0,0.515151515151515,400,480,FALSE,"Never","Some College","Bachelor Degree","Male"
1,0.586466165413534,460,450,FALSE,"Never","Some College","Some College","Female"
1,0.620689655172414,540,370,FALSE,"Never","Some College","Bachelor Degree","Female"
1,0.80952380952381,330,470,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.434869739478958,600,390,FALSE,"Never","Bachelor Degree","Some College","Male"
1,0.863636363636364,640,540,FALSE,"Never","Some College","Some College","Female"
1,0.832535885167464,460,360,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.553691275167785,480,470,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.869047619047619,540,600,FALSE,"Never","Associate/two-year degree","Graduate/Professional degree","Female"
1,0.926208651399491,600,500,FALSE,"Never","Bachelor Degree","High School Diploma or GED","Female"
1,0.868421052631579,430,420,FALSE,"Never","No High School","No High School","Female"
0,0.844444444444444,540,430,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.977777777777778,650,520,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.261316872427984,450,490,FALSE,"Never","Some College","Bachelor Degree","Male"
0,0.352657004830918,470,530,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Male"
1,0.537383177570093,450,400,FALSE,"Never","No High School","No High School","Female"
1,0.770334928229665,550,600,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
0,0.75,420,500,FALSE,"Never","Not Available","Some College","Male"
1,0.667785234899329,550,550,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
1,0.434782608695652,500,530,FALSE,"Never","Graduate/Professional degree","Bachelor Degree","Male"
0,0.606217616580311,540,410,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Male"
0,0.6375,520,350,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.693717277486911,370,410,FALSE,"Never","Graduate/Professional degree","Bachelor Degree","Female"
1,0.693717277486911,370,410,TRUE,"Never","Graduate/Professional degree","Bachelor Degree","Female"
1,0.951219512195122,560,660,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.486486486486487,440,460,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.719653179190751,450,420,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.843137254901961,580,640,FALSE,"Never","Bachelor Degree","Some College","Female"
0,0.843137254901961,580,640,TRUE,"Never","Bachelor Degree","Some College","Female"
0,0.75,480,550,FALSE,"Never","Some College","Graduate/Professional degree","Female"
0,0.859410430839002,520,530,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
1,0.859410430839002,520,530,TRUE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
0,0.532494758909853,380,660,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.498622589531680,500,500,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Male"
0,0.525301204819277,360,330,FALSE,"Never","Some High School","Some High School","Female"
0,0.718085106382979,460,650,FALSE,"Never","Some College","Some College","Female"
1,0.718085106382979,460,650,TRUE,"Never","Some College","Some College","Female"
0,0.61038961038961,440,580,FALSE,"Never","Some College","Graduate/Professional degree","Male"
1,0.545454545454545,440,470,FALSE,"Never","Some College","Some College","Female"
1,0.758620689655172,480,470,FALSE,"Never","Some College","Bachelor Degree","Male"
1,0.800796812749004,570,600,FALSE,"Never","Not Available","Bachelor Degree","Female"
1,0.844444444444444,490,530,FALSE,"Never","Some High School","Some College","Female"
1,0.824074074074074,570,470,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.963636363636364,640,540,FALSE,"Never","No High School","No High School","Female"
0,0.602870813397129,460,370,FALSE,"Never","Graduate/Professional degree","No High School","Male"
1,0.785714285714286,540,570,FALSE,"Never","Some College","Some College","Female"
0,0.605633802816901,510,480,FALSE,"Never","Some High School","Some College","Male"
0,0.605633802816901,510,480,TRUE,"Never","Some High School","Some College","Male"
1,0.891008174386921,600,530,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.593253968253968,500,530,FALSE,"Never","Bachelor Degree","High School Diploma or GED","Female"
0,0.675,560,780,FALSE,"Never","Bachelor Degree","Some College","Male"
1,0.7992277992278,510,510,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.523664122137405,560,450,FALSE,"Never","Not Available","Some College","Female"
0,0.671641791044776,450,380,FALSE,"Never","Some College","Some College","Male"
1,0.912772585669782,560,530,FALSE,"Never","Some College","Some College","Male"
0,0.503597122302158,470,470,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Male"
0,0.503597122302158,470,470,TRUE,"Concurrent","High School Diploma or GED","Bachelor Degree","Male"
1,0.861788617886179,490,410,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
1,0.850746268656716,540,500,FALSE,"Never","Some College","High School Diploma or GED","Female"
0,0.701244813278008,470,520,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
0,0.508982035928144,440,450,FALSE,"Never","Graduate/Professional degree","High School Diploma or GED","Female"
1,0.988095238095238,670,550,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.566666666666667,360,510,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Male"
0,0.893518518518518,590,500,FALSE,"Never","Not Available","Not Available","Male"
1,0.58252427184466,460,570,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.650375939849624,510,370,FALSE,"Never","High School Diploma or GED","Some College","Male"
1,0.872727272727273,480,470,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.716981132075472,520,470,FALSE,"Never","High School Diploma or GED","Some College","Male"
1,0.96875,500,570,FALSE,"Never","Some College","Some College","Female"
1,0.561507936507937,490,490,FALSE,"Concurrent","Bachelor Degree","Bachelor Degree","Female"
0,0.77948717948718,410,410,FALSE,"Never","Bachelor Degree","Graduate/Professional degree","Female"
1,0.25,520,390,FALSE,"Never","Bachelor Degree","Some College","Male"
1,0.625,560,570,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.738095238095238,480,610,FALSE,"Never","Some College","Some College","Female"
0,0.878048780487805,610,500,FALSE,"Never","High School Diploma or GED","Some College","Male"
1,0.544642857142857,480,470,FALSE,"Never","Some College","Some College","Female"
1,0.782608695652174,500,460,FALSE,"Never","No High School","Some College","Female"
1,0.347222222222222,500,390,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Male"
1,0.846153846153846,540,520,FALSE,"Never","Some College","High School Diploma or GED","Female"
0,0.850393700787402,560,550,FALSE,"Never","Some College","Some College","Female"
0,0.60655737704918,330,450,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.838926174496644,520,480,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.985250737463127,450,540,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.476047904191617,640,530,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.98407643312102,640,570,FALSE,"Never","Some College","Some College","Female"
0,0.867924528301887,590,580,FALSE,"Never","Some High School","Some College","Female"
1,0.867924528301887,590,580,TRUE,"Never","Some High School","Some College","Female"
1,0.865671641791045,640,580,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.585106382978723,480,550,FALSE,"Never","Bachelor Degree","Some College","Female"
0,0.585106382978723,480,550,TRUE,"Never","Bachelor Degree","Some College","Female"
1,0.903225806451613,600,540,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Female"
1,0.81578947368421,460,500,FALSE,"Never","Not Available","Not Available","Male"
0,0.253731343283582,390,510,FALSE,"Never","Some College","High School Diploma or GED","Female"
0,0.754563894523327,460,530,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
